id,dam,sire,Sex
2327,1237,,F
2328,1237,,F
2329,1518,,M
2330,1518,,F
2331,1519,,M
2332,1519,,M
2333,2017,,M
2334,2017,,M
2335,2017,,F
2336,2017,,F
2337,1947,,M
2338,1947,,M
2339,1947,,F
2340,1923,,F
2341,1923,,F
2342,1923,,M
2343,1911,,M
2344,1949,,F
2345,1949,,M
2346,1949,,F
2347,1355,,M
2348,1355,,F
2349,1355,,M
2350,1355,,M
2351,1965,,F
2352,1965,,M
2353,1965,,F
2354,2014,,M
2355,2014,,F
2356,2014,,M
2357,1047,,F
2358,1047,,M
2359,1047,,F
2360,1458,,M
2361,1458,,F
2362,1458,,M
2400,,,F
2401,,,F
2402,,,M
2403,,,M
2404,,,M
2405,,,M
2406,,,M
2407,,,M
2408,,,M
2409,,,M
2410,,,M
2411,,,F
2412,,,F
2413,,,M
2414,,,M
2415,,,M
2416,,,F
2417,,,M
2418,,,M
2419,,,F
